§	/yyybs/
°	/yyycg/
±	/yyydb/
·	/zxaf/zxaq/
÷	/yyyda/
ˇ	/yyyyn/
ˊ	/yyyym/
ˋ	/yyyyo/
˙	/yyyby/
Α	/zf/
Β	/zf/
Γ	/zf/
Δ	/zf/
Ε	/zf/
Ζ	/zf/
Η	/zf/
Θ	/zf/
Ι	/zf/
Κ	/zf/
Λ	/zf/
Μ	/zf/
Ν	/zf/
Ξ	/zf/
Ο	/zf/
Π	/zf/
Ρ	/zf/
Σ	/zf/
Τ	/zf/
Υ	/zf/
Φ	/zf/
Χ	/zf/
Ψ	/zf/
Ω	/zf/
α	/zf/
β	/zf/
γ	/zf/
δ	/zf/
ε	/zf/
ζ	/zf/
η	/zf/
θ	/zf/
ι	/zf/
κ	/zf/
λ	/zf/
μ	/zf/
ν	/zf/
ξ	/zf/
ο	/zf/
π	/zf/
ρ	/zf/
σ	/zf/
τ	/zf/
υ	/zf/
φ	/zf/
χ	/zf/
ψ	/zf/
ω	/zf/
Ё	/zg/
А	/zg/
Б	/zg/
В	/zg/
Г	/zg/
Д	/zg/
Е	/zg/
Ж	/zg/
З	/zg/
И	/zg/
Й	/zg/
К	/zg/
Л	/zg/
М	/zg/
Н	/zg/
О	/zg/
П	/zg/
Р	/zg/
С	/zg/
Т	/zg/
У	/zg/
Ф	/zg/
Х	/zg/
Ц	/zg/
Ч	/zg/
Ш	/zg/
Щ	/zg/
Ъ	/zg/
Ы	/zg/
Ь	/zg/
Э	/zg/
Ю	/zg/
Я	/zg/
а	/zg/
б	/zg/
в	/zg/
г	/zg/
д	/zg/
е	/zg/
ж	/zg/
з	/zg/
и	/zg/
й	/zg/
к	/zg/
л	/zg/
м	/zg/
н	/zg/
о	/zg/
п	/zg/
р	/zg/
с	/zg/
т	/zg/
у	/zg/
ф	/zg/
х	/zg/
ц	/zg/
ч	/zg/
ш	/zg/
щ	/zg/
ъ	/zg/
ы	/zg/
ь	/zg/
э	/zg/
ю	/zg/
я	/zg/
ё	/zg/
–	/zxaw/
—	/zxay/
‘	/yyybu/za/zxcr/
’	/yyybt/za/zxcs/
“	/yyybw/za/zxct/
”	/yyybv/za/zxcu/
‥	/zxam/
…	/yyych/za/zxal/
′	/zxcy/
‵	/zxcx/
※	/yyybp/za/
℃	/yyyce/
℅	/yyycb/
℉	/yyycf/
№	/za/
Ⅰ	/zbe/
Ⅱ	/yyyga/zbe/
Ⅲ	/yyygb/zbe/
Ⅳ	/yyygc/zbe/
Ⅴ	/zbe/
Ⅵ	/yyygd/zbe/
Ⅶ	/yyyge/zbe/
Ⅷ	/yyygf/zbe/
Ⅸ	/yyygg/zbe/
Ⅹ	/zbe/
